headline,date,parsed_date,author,summary,url,page
"Grand Theft Auto VI: Η ημέρα, η ώρα και η πλατφόρμα της παρουσίασης του",,,Newsroom,Πολλές λεπτομέρειες για το Grand Theft Auto VI αναμένεται να γίνουν γνωστές στην παρουσίαση του παιχνιδιού από την Rockstar.,https://www.tovima.gr/2026/08/24/texnologia/grand-theft-auto-vi-i-imera-i-ora-kai-i-platforma-tis-parousiasis-tou/,1
"Οι νεκροί επιστρέφουν, αλλά όχι όπως τους θυμόμαστε - Η τεχνητή νοημοσύνη και το νέο πρόσωπο του πένθους",,,Κωνσταντίνος Δέδες,"Ο θάνατος, η απόλυτη ανθρώπινη εμπειρία, περνά πλέον μέσα από τα data centers. Ποιες είναι όμως οι ηθικές και ψυχολογικές παγίδες της νέας βιομηχανίας του πένθους;",https://www.tovima.gr/2026/08/23/texnologia/mexri-na-mas-xorisei-to-deadbot-pos-i-texniti-noimosyni-allazei-to-penthos/,1
Τεχνητή νοημοσύνη: Γιατί η γενιά Z και οι νέοι τρέμουν πλέον την AI,,,Newsroom,Πάνω από το 50% των Αμερικανών εκφράζει φόβο για την τεχνητή νοημοσύνη - Το 71% βλέπει μείωση θέσεων εργασίας και ο αλματώδης σκεπτικισμός των νέων κάτω των 30 - Τι δείχνει έρευνα;,https://www.tovima.gr/2026/08/20/texnologia/texniti-noimosyni-to-71-ton-amerikanon-fovatai-oti-tha-xathoun-theseis-ergasias/,1
Meta Glasses: Μήπως σε καταγράφουν και δεν το ξέρεις; Η απειλή πίσω από το «πειραγμένο» φωτάκι,,,Κατερίνα Μανιαδάκη,"Μια κάμερα που τη φοράς, ένα μικρό φωτάκι που προειδοποιεί και ένα «κόλπο» για να σβήσει. Τα Meta Glasses φέρνουν την κρυφή καταγραφή πιο κοντά από ποτέ, ανοίγοντας νέα συζήτηση για τα όρια της ιδιωτικότητας",https://www.tovima.gr/2026/08/20/texnologia/meta-glasses-to-peiragmeno-fotaki-ton-eksypnon-gyalion-apeilei-tin-idiotikotita-mas/,1
ChatGPT: «Φρένο» στους εφήβους βάζει η OpenAI – Τα νέα μέτρα και ο φόβος,,,Newsroom,"Τι αλλάζει στο ChatGPT για τους ανήλικους χρήστες - Απενεργοποίηση της «ανθρώπινης» φωνής, «ήσυχες ώρες» και άμεση ειδοποίηση γονέων.",https://www.tovima.gr/2026/08/18/texnologia/chatgpt-freno-stous-efivous-vazei-i-openai-ta-nea-metra-kai-o-fovos/,1
Η AI γράφει βιβλία και οι αναγνώστες τα αγοράζουν – Η νέα απειλή που «σαρώνει» τη λογοτεχνία,,,Γρηγόρης Τραγγανίδας,"Χιλιάδες μυθιστορήματα που πωλούνται στην Amazon περιέχουν κείμενο παραγόμενο από Τεχνητή Νοημοσύνη, ενώ οι πωλήσεις βιβλίων με περιεχόμενο AI φτάνουν τα δεκάδες εκατομμύρια δολάρια – Γιατί οι συγγραφείς φοβούνται ότι η ανθρώπινη γραφή κινδυνεύει να χαθεί;",https://www.tovima.gr/2026/08/17/finance/vivlia-ftiagmena-apo-texniti-noimosyni-kataklyzoun-tin-agora-dekades-ekatommyria-esoda/,1
Ερχεται το τέλος των likes; Η δίκη που μπορεί να αλλάξει τα πάντα σε Facebook και Instagram,,,Newsroom,"Ενώπιον μιας ιστορικής δίκης βρίσκεται η Meta, καθώς 30 αμερικανικές πολιτείες διεκδικούν πάνω από 1 τρισεκατομμύριο δολάρια, κατηγορώντας την για σκόπιμο εθισμό των νέων",https://www.tovima.gr/2026/08/17/texnologia/meta-pos-mia-diki-mporei-na-odigisei-se-rizikes-allages-se-facebook-kai-instagram/,1
"Ζούκερμπεργκ: «Το μέλλον είναι για όλους» – Η μάχη ΗΠΑ, Κίνας για τα ανοιχτού κώδικα μοντέλα ΑΙ",,,Newsroom,"Την ανάγκη η Τεχνητή Νοημοσύνη να παραμείνει ευρέως προσβάσιμη και να μην συγκεντρωθεί στα χέρια λίγων εταιρειών υπογραμμίζει ο Μαρκ Ζούκερμπεργκ, την ώρα που η Meta εντείνει την προσπάθειά της να ανταγωνιστεί τα κινεζικά μοντέλα ανοιχτού τύπου",https://www.tovima.gr/2026/08/10/world/zoukermpergk-to-mellon-einai-gia-olous-i-maxi-ipa-kinas-gia-ta-anoixtou-kodika-montela-ai/,1
Γιατί η Τεχνητή Νοημοσύνη είναι ρίσκο για την Κίνα,,,Newsroom,"Σε επικίνδυνο τεντωμένο σχοινί βαδίζει η κινεζική ηγεσία, καθώς η επιθετική υιοθέτηση της Τεχνητής Νοημοσύνης στην οικονομία απειλεί να εκτινάξει την ανεργία και να πυροδοτήσει κοινωνική αστάθεια.",https://www.tovima.gr/2026/08/06/texnologia/giati-i-kina-fovatai-tin-texniti-noimosyni/,1
Ντέμης Χασάμπης: Τι σημαίνει η νέα του θέση στη Google για το μέλλον της τεχνητής νοημοσύνης,,,Δημήτρης Ελαφρόπουλος,Η Alphabet αναβαθμίζει τον Ντέμης Χασάμπης σε επικεφαλής επιστήμονα και του αναθέτει τον μακροπρόθεσμο σχεδιασμό της τεχνητής νοημοσύνης. Η κίνηση αυτή αποτυπώνει τη νέα στρατηγική της Google στη μάχη για τη Γενική Τεχνητή Νοημοσύνη.,https://www.tovima.gr/2026/08/06/texnologia/ntemis-xasampis-ti-simainei-i-nea-tou-thesi-sti-google-gia-to-mellon-tis-texnitis-noimosynis/,1
Η Τεχνητή Νοημοσύνη «ξέφυγε» - Μοντέλα προσπάθησαν να εξαπατήσουν προγραμματιστές,,,Robert McMillan,"Κατά τη διάρκεια δοκιμών από ερευνητικό οργανισμό που υποστηρίζεται από τη βρετανική κυβέρνηση, συστήματα της OpenAI και της Anthropic προχώρησαν σε μη εγκεκριμένες ενέργειες και επέδειξαν παραπλανητική συμπεριφορά",https://www.tovima.gr/2026/08/05/the-wall-street-journal/i-texniti-noimosyni-ksefyge-ksana-ayti-ti-fora-katefyge-stin-eksapatisi/,1
Fake news στο Google Earth: Εργαλείο ΑΙ παραποιούσε τη Γη,,,,"Ένα βήμα πίσω αναγκάστηκε να κάνει ο τεχνολογικός κολοσσός της Google, παγώνοντας το νέο AI εργαλείο του Google Earth που επέτρεπε την παραποίηση δορυφορικών λήψεων.",https://www.tovima.gr/2026/08/04/texnologia/fake-news-sto-google-earth-ergaleio-ai-parapoiouse-ti-gi/,1
Ο Ζάκερμπεργκ απέναντι σε κολοσσούς της Σίλικον Βάλεϊ: Όχι στο μπλόκο στην AI της Κίνας,,,,"Ο Μαρκ Ζάκερμπεργκ προειδοποιεί την Ουάσινγκτον ότι ο πραγματικός κίνδυνος για τον εγχώριο ανταγωνισμό δεν είναι η τεχνητή νοημοσύνη της Κίνας, αλλά η «θεσμική χειραγώγηση» και το μονοπώλιο των λίγων.",https://www.tovima.gr/2026/07/29/texnologia/zakermpergk-lathos-to-mploko-stin-kineziki-ai-kindyneyoume-apo-ta-dika-mas-monopolia/,2
"Διάλογος στο ΒΗΜΑ: «Μιλάμε για υπερνοημοσύνη, αλλά τι σημαίνει;»",,,Άγγελος Αλεξόπουλος,"Ο καθηγητής Επιστήμης Υπολογιστών Κωνσταντίνος Δασκαλάκης και ο Γάλλος μαθηματικός Σεντρίκ Βιλανί συζητούν για τα όρια των μηχανών, την υπεροχή της ανθρώπινης εμπειρίας, τα σύγχρονα γλωσσικά μοντέλα και τους κινδύνους της τεχνολογικής εξάρτησης.",https://www.tovima.gr/print/science/dialogos-sto-vima-milame-gia-ypernoimosyni-alla-ti-simainei/,2
Επεσαν Facebook και Instagram - Αναφορές από χιλιάδες χρήστες,,,Newsroom,Σοβαρά προβλήματα σύνδεσης και περιήγησης σε Facebook και Instagram - Αναφορές για προβλήματα και στο X.,https://www.tovima.gr/2026/07/22/society/epesan-facebook-kai-instagram-anafores-apo-xiliades-xristes/,2
"Anthropic: Συμφωνία-μαμούθ $1,5 δισ. με συγγραφείς για πειρατικά βιβλία",,,Δημήτρης Γαλάνης,"Η Anthropic συμφώνησε να καταβάλει 1,5 δισ. δολάρια σε συγγραφείς και δικαιούχους για τη χρήση πειρατικών βιβλίων στην εκπαίδευση των AI μοντέλων της",https://www.tovima.gr/2026/07/21/texnologia/anthropic-symfonia-mamouth-15-dis-me-syggrafeis-gia-peiratika-vivlia/,2
Ελίζα Κονοφάγου: «Θα πρέπει να αποδειχθεί ότι η τεχνητή νοημοσύνη έχει ακρίβεια καλύτερη από αυτή των ειδικών»,,,Δημήτρης Ελαφρόπουλος,"Η Ελίζα Κονοφάγου, καθηγήτρια Βιοϊατρικής Μηχανικής, Ακτινολογίας και Νευρολογικών Επιστημών στο Πανεπιστήμιο Κολούμπια, μιλά στο ΒΗΜΑ για τις δυνατότητες και τα όρια της τεχνητής νοημοσύνης στην ιατρική απεικόνιση, τις προκαταλήψεις των αλγορίθμων και το έλλειμμα έρευνας στην υγεία των γυναικών.",https://www.tovima.gr/2026/07/18/health/eliza-konofagou-tha-prepei-na-apodeixthei-oti-i-texniti-noimosyni-exei-akriveia-kalyteri-apo-ayti-ton-eidikon/,2
Τεχνητή Νοημοσύνη: Ο Σι προκαλεί τον Τραμπ και διεκδικεί τα ηνία,,,,"Σε ανοιχτή πρόκληση κατά της αμερικανικής τεχνολογικής κυριαρχίας προχώρησε ο Σι Τζινπίνγκ από τη Σαγκάη, παρουσιάζοντας την Κίνα ως τη νέα ηγέτιδα δύναμη της παγκόσμιας Τεχνητής Νοημοσύνης.",https://www.tovima.gr/2026/07/17/texnologia/texniti-noimosyni-o-si-prokalei-ton-tramp-kai-diekdikei-ta-inia/,2
Η Microsoft διευρύνει τον περιφερειακό ρόλο της Ελλάδας στη Νότια Ευρώπη,,,Newsroom,"Η αγορά της Ελλάδας πέρα από Κύπρο και Μάλτα διευρύνεται με την περιοχή της Αδριατικής, σε μια περίοδο κομβικών επενδύσεων σε cloud, AI και ψηφιακές δεξιότητες, κατά την οποία αναμένεται και η ολοκλήρωση της μεγαλύτερης cloud επένδυσης της Microsoft στη χώρα.",https://www.tovima.gr/2026/07/17/texnologia/i-microsoft-dieyrynei-ton-perifereiako-rolo-tis-elladas-sti-notia-eyropi/,2
"Σε βλέπουν, σε ακούν, σε θυμούνται: Είναι τα νέα γυαλιά της Meta ο απόλυτος εφιάλτης;",,,Meghan Bobrowsky,"Τα ΑΙ γυαλιά της Meta ξέρουν ποιος είστε (και σύντομα και τι νιώθετε), αλλά με τι τίμημα;",https://www.tovima.gr/2026/07/14/the-wall-street-journal/meta-eksypna-gyalia-megala-erotimata-to-orama-tou-zakempergk-skontaftei-stin-idiotikotita/,2
«Greeks in AI 2026»: Η Ελλάδα στο επίκεντρο της παγκόσμιας Τεχνητής Νοημοσύνης,,,Δημήτρης Γαλάνης,Ένα συμπόσιο που συγκεντρώνει την παγκόσμια ελληνική κοινότητα στον χώρο της Τεχνητής Νοημοσύνης,https://www.tovima.gr/2026/07/14/texnologia/symposio-greeks-in-ai-2026-i-ellada-sto-epikentro-tis-pagkosmias-texnitis-noimosynis/,2
Η Apple κατηγορεί την OpenAI για υπεξαίρεση εμπορικών μυστικών,,,Newsroom,"Η Apple προσέφυγε στη Δικαιοσύνη κατά της OpenAI, κατηγορώντας την ότι απέκτησε παράνομα εμπορικά μυστικά και απόρρητες πληροφορίες μέσω πρώην και νυν εργαζομένων της",https://www.tovima.gr/2026/07/11/texnologia/i-apple-katigorei-tin-openai-gia-ypeksairesi-emporikon-mystikon/,2
Γιατί είναι τόσο εθιστικά το Facebook και το Instagram; Οι απαιτήσεις της ΕΕ από τη Meta,,,Δημήτρης Γαλάνης,"Η Meta καλείται να τροποποιήσει autoplay, infinite scroll και τον αλγόριθμο προτάσεων, διαφορετικά κινδυνεύει με πρόστιμα δισεκατομμυρίων ευρώ.",https://www.tovima.gr/2026/07/10/world/i-ee-apaitei-megales-allages-apo-ti-meta/,2
"Τεχνητή νοημοσύνη, Διάστημα και ανθρώπινα δικαιώματα στου Δελφούς",,,Newsroom,"Οκτώ διεθνώς αναγνωρισμένοι επιστήμονες και στοχαστές συζήτησαν στους Τέταρτους Δελφικούς Διαλόγους τις τεχνολογίες, τις πολιτικές αποφάσεις και τα ηθικά διλήμματα που θα διαμορφώσουν το μέλλον της ανθρωπότητας.",https://www.tovima.gr/2026/07/09/culture/texniti-noimosyni-diastima-kai-anthropina-dikaiomata-stou-delfous/,2
Όταν η εικόνα παίζει μπάλα: Το Μουντιάλ 2026 και η σκηνοθεσία της εμπειρίας,,,Θοδωρής Καπετανάκης,Ίσως το ποδόσφαιρο να είναι η απόδειξη ότι δεν ζούμε αποκλειστικά μέσα σε προσομοιώσεις. Κάτι εξακολουθεί να αντιστέκεται. Κάτι παραμένει αληθινό. Το Μουντιάλ δεν είναι ποτέ μόνο ποδόσφαιρο. Είναι οι άνθρωποι που κάθονταν δίπλα σου όταν το έβλεπες.,https://www.tovima.gr/2026/07/09/sports/otan-i-eikona-paizei-mpala-to-mountial-2026-kai-i-skinothesia-tis-empeirias/,2
Βαλέριο Ντι Στεφάνο: «Ψηφιακός καθρέφτης οι αλγόριθμοι που ανακυκλώνει τις ανισότητες»,,,Γιώργος Γούλας,"Ο διακεκριμένος ιταλός νομικός, ερευνητής και καθηγητής μιλάει για την τεχνητή νοημοσύνη και την αναδιάταξη του τοπίου των εργασιακών σχέσεων, φωτίζοντας τους κινδύνους που ελλοχεύουν για εργαζομένους και εργοδότες",https://www.tovima.gr/print/texnologia/psifiakos-lfkathreftislfoi-algorithmoi-lfpou-anakyklonei-lftis-anisotites/,2
Ο διαγωνισμός του ΕΚΠΑ που συνδέει φοιτητές με την καινοτομία και την αγορά εργασίας,,,,Ο 4ος Φοιτητικός Διαγωνισμός Ανοικτής Καινοτομίας 2026 του ΕΚΠΑ δίνει τη δυνατότητα στους συμμετέχοντες να δουλέψουν πάνω σε πραγματικές προκλήσεις της αγοράς και να αναπτύξουν λύσεις με πρακτική εφαρμογή.,https://www.tovima.gr/2026/06/29/texnologia/o-diagonismos-tou-ekpa-pou-syndeei-foitites-me-tin-kainotomia-kai-tin-agora-ergasias/,2
